country,Andy,AnnMarie,Visited
Afghanistan,0,0,0
Akrotiri (UK),0,0,0
Albania,0,0,0
Algeria,0,0,0
American Samoa (Eastern Samoa),0,0,0
Andorra,0,0,0
Angola,0,0,0
Anguilla,0,0,0
Antarctica,0,0,0
Antigua & Barbuda,0,0,0
Argentina,2,1,3
Armenia,0,0,0
Aruba,2,0,2
Ashmore & Cartier Islands (Australia),0,0,0
Australia,2,0,2
Austria,2,0,2
Azerbaijan,0,0,0
Bahrain,0,0,0
Bangladesh,0,0,0
Barbados,0,0,0
Belarus,0,0,0
Belgium,2,1,3
Belize,2,0,2
Benin,0,0,0
Bermuda,2,1,3
Bhutan,0,0,0
Bolivia,0,0,0
Bonaire (Neth),0,0,0
Bosnia & Herzegovina,0,0,0
Botswana,0,0,0
Bouvet I.,0,0,0
Brazil,2,0,2
British Indian Ocean Territory,0,0,0
British Virgin Is.,0,0,0
Brunei,0,0,0
Bulgaria,0,0,0
Burkina Faso,0,0,0
Burundi,0,0,0
Cambodia,2,1,3
Cameroon,0,0,0
Canada,2,1,3
Cape Verde,0,0,0
Cayman Is.,2,1,3
Central African Republic,0,0,0
Chad,0,0,0
Chile,0,0,0
China,0,0,0
Christmas I.,0,0,0
Clipperton Island (France),0,0,0
Cocos Is.,0,0,0
Colombia,2,0,2
Comoros,0,0,0
Congo,0,0,0
"Congo, DRC",0,0,0
Cook Is.,0,0,0
Coral Sea Islands (Australia),0,0,0
Costa Rica,2,1,3
Cote d'Ivoire,0,0,0
Croatia,2,1,3
Cuba,0,0,0
Cyprus,0,0,0
Czech Republic,2,0,2
Denmark,2,0,2
Dhekelia (UK),0,0,0
Djibouti,0,0,0
Dominica,0,0,0
Dominican Republic,0,0,0
Ecuador,0,0,0
Egypt,0,0,0
El Salvador,0,0,0
Equatorial Guinea,0,0,0
Eritrea,0,0,0
Estonia,0,0,0
Ethiopia,0,0,0
Falkland Is.,0,0,0
Faroe Is.,0,0,0
Fiji,0,0,0
Finland,2,1,3
France,2,1,3
French Guiana,0,0,0
French Polynesia,2,1,3
French Southern & Antarctic Lands,0,0,0
Gabon,0,0,0
Georgia,0,0,0
Germany,2,1,3
Ghana,0,0,0
Gibraltar (UK),0,0,0
Greece,2,1,3
Greenland,0,0,0
Grenada,0,0,0
Guadeloupe,0,0,0
Guam,0,0,0
Guatemala,0,0,0
Guernsey,0,0,0
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana,0,0,0
Haiti,0,0,0
Heard I. & McDonald Is.,0,0,0
Honduras,0,0,0
Hong Kong (China),2,1,3
Hungary,2,0,2
Iceland,2,0,2
In dispute Belize/Honduras,0,0,0
In dispute Benin/Burkina Faso,0,0,0
In dispute Bhutan/China,0,0,0
In dispute Brazil/Uruguay,0,0,0
In dispute Canada/Denmark,0,0,0
In dispute China/India,0,0,0
In dispute China/Japan/Taiwan,0,0,0
In dispute China/Philippines/Taiwan,0,0,0
In dispute Comoros/Mayotte/Madagascar,0,0,0
In dispute Croatia/Slovenia,0,0,0
In dispute Djibouti/Eritrea,0,0,0
In dispute Egypt/Saudi Arabia,0,0,0
In dispute El Salvador/Honduras,0,0,0
In dispute Equatorial Guinea/Gabon,0,0,0
In dispute India/Nepal,0,0,0
In dispute India/Pakistan,0,0,0
In dispute Iran/United Arab Emirates,0,0,0
In dispute Japan/Russia,0,0,0
In dispute Japan/South Korea,0,0,0
In dispute Morocco/Spain,0,0,0
In dispute South Sudan/Sudan,0,0,0
